Date,LSTM_Pred,Sentiment_Score,XGB_Pred,XGB_Prob_Up,Open,High,Low,Close,Volume,DE Ratio,Return on Equity,Price/Book,Profit Margin,Diluted EPS,Beta
2021-11-19,162.9780248636007,0.22418529247353175,1,0.7918386,163.04,163.19,161.78,162.89,7628928.0,,0.201,5.17,0.158,5.79,0.463
2021-11-22,162.75317984163758,0.6060647672093163,0,0.11502912,161.03,162.64,159.65,159.7,7642322.0,,0.201,5.17,0.158,5.79,0.463
2021-11-23,162.2702002096176,0.7855596836174603,1,0.7137921,159.52,161.0,158.78,160.69,7735770.0,,0.201,5.17,0.158,5.79,0.463
2021-11-24,161.63282298147678,0.7626601681646691,0,0.36862144,160.14,160.62,159.38,160.24,5230887.0,,0.201,5.17,0.158,5.79,0.463
2021-11-26,160.97164373397825,0.5638327586686686,0,0.13157052,160.6,161.16,158.66,159.2,8523072.0,,0.201,5.17,0.158,5.79,0.463
2021-11-29,160.296989441216,0.3115095371621256,0,0.4073016,159.5,160.42,158.42,159.75,9188537.0,,0.201,5.17,0.158,5.79,0.463
2021-11-30,159.71777445375918,0.5250544945249591,0,0.101917036,158.51,159.0,155.85,155.93,14981664.0,,0.201,5.17,0.158,5.79,0.463
2021-12-01,158.9582667568326,0.6245257118374228,1,0.8939437,156.88,160.0813,156.25,158.08,9836412.0,,0.201,5.17,0.158,5.79,0.463
2021-12-02,158.1965491476655,0.4170769871593699,0,0.49433193,157.26,159.29,156.75,157.09,11334736.0,,0.201,5.17,0.158,5.79,0.463
2021-12-03,157.50039668411017,0.5183989863317007,1,0.9300487,157.91,159.67,157.59,159.38,8750521.0,,0.201,5.17,0.158,5.79,0.463
2021-12-06,157.19133052170275,0.4720543331828907,1,0.96466357,160.19,163.52,159.83,162.94,9692041.0,,0.201,5.17,0.158,5.79,0.463
2021-12-07,157.75653574943541,0.5064726531345036,1,0.93941617,164.0,164.27,162.41,163.36,8311254.0,,0.201,5.17,0.158,5.79,0.463
2021-12-08,159.11259088993071,0.5966333702245112,1,0.98973,163.47,164.57,162.64,164.34,6216391.0,,0.201,5.17,0.158,5.79,0.463
2021-12-09,160.80137089908123,0.3182191377885404,1,0.97194177,164.18,165.98,163.49,165.9,8574177.0,,0.201,5.17,0.158,5.79,0.463
2021-12-10,162.44827457666395,0.18167660244295591,1,0.65368026,165.57,166.69,164.65,165.49,6572247.0,,0.201,5.17,0.158,5.79,0.463
2021-12-13,163.6992992722988,0.3904624799887738,1,0.89886856,164.75,169.195,163.8,168.45,11142277.0,,0.201,5.17,0.158,5.79,0.463
2021-12-14,164.74525856375692,0.5299494382263004,1,0.9057712,168.33,170.97,167.16,170.29,10482433.0,,0.201,5.17,0.158,5.79,0.463
2021-12-15,165.7962855994701,0.036889145172707374,1,0.9640026,169.85,171.295,169.42,171.14,8552246.0,,0.201,5.17,0.158,5.79,0.463
2021-12-16,166.88066966474054,0.018622655077729533,1,0.9279358,171.26,173.51,170.84,173.01,8998582.0,,0.201,5.17,0.158,5.79,0.463
2021-12-17,168.03805429697036,0.12157718664042398,0,0.03999272,169.64,170.78,167.66,168.23,16732018.0,,0.201,5.17,0.158,5.79,0.463
2021-12-20,168.82365100145338,0.5070084066002816,0,0.18269135,167.81,168.51,166.55,167.75,7954532.0,,0.201,5.17,0.158,5.79,0.463
2021-12-21,169.0685935795307,0.5829885027260667,0,0.38058838,168.06,168.1,165.98,167.21,7954249.0,,0.201,5.17,0.158,5.79,0.463
2021-12-22,168.94004051566122,0.5632103896119409,1,0.53542554,167.06,168.17,166.12,167.93,4178361.0,,0.201,5.17,0.158,5.79,0.463
